Word,Value
abaca,120
dabba,252
bacca,300
gabba,612
abaka,744
baaed,924
caeca,1100
babka,1116
kabab,1116
bacha,1140
abaci,1380
abbed,1386
araba,1464
caaed,1540
dhaba,1596
aback,1860
cabal,2220
abaya,2328
abbas,2412
babas,2412
dacha,2660
labda,3108
bedad,3234
yabba,3492
aband,3612
banda,3612
abcee,3630
barca,3660
dadah,3724
bubba,3942
abacs,4020
cabas,4020
bobac,4230
cabob,4230
cacao,4700
aecia,5060
adage,5236
decad,5390
abeam,5412
ameba,5412
agama,5576
ahead,5852
facia,5980
kebab,6138
beach,6270
afara,6344
accas,6700
cacas,6700
bacco,7050
bocca,7050
caboc,7050
babel,7326
added,7546
ceiba,7590
ebbed,7623
badge,7854
begad,7854
debag,7854
abear,8052
dagga,8092
gamba,8364
cadee,8470
cabby,8730
abase,8844
hamba,9348
abate,9372
yacca,9700
decaf,10010
faced,10010
kaama,10168
labia,10212
cauda,10220
cache,10450
chace,10450
abide,10626
abaft,11076
aldea,11396
apace,11660
kacha,11780
bania,11868
adrad,11956
jibba,12006
barbe,12078
cable,12210
maaed,12628
cadge,13090
caged,13090
biach,13110
dadas,13132
abbes,13266
babes,13266
areca,13420
afald,13468
faded,14014
audad,14308
baked,14322
baccy,14550
ached,14630
anana,14792
bajan,14964
abash,15276
sabha,15276
aceta,15620
alaap,15688
alapa,15688
banak,15996
chana,16340
braai,16836
bambi,16974
abled,17094
baled,17094
blade,17094
addax,17444
becap,17490
cadie,17710
facta,18460
baisa,18492
aread,18788
bemad,18942
banal,19092
nabla,19092
abbey,19206
jaffa,19604
hadal,19684
baned,19866
kadai,19964
acerb,20130
brace,20130
caber,20130
cabre,20130
pacha,20140
mamba,20172
cecal,20350
haded,20482
amban,21156
bajra,21228
jacal,21460
bubbe,21681
abode,21714
adobe,21714
chica,21850
daraf,22204
farad,22204
mecca,22550
bakra,22692
kabar,22692
fabby,22698
adhan,22876
alack,22940
asana,23048
aboma,23124
achar,23180
chara,23180
caked,23870
anata,24424
faena,24596
aided,24794
abask,24924
rabbi,25254
bagie,25806
bigae,25806
hakea,25916
abamp,26076
bobak,26226
kabob,26226
cebid,26565
cohab,26790
abele,26862
albee,26862
labra,27084
chafe,27170
calla,27380
algae,27676
galea,27676
naiad,27692
baiza,27876
acari,28060
ardeb,28182
barde,28182
bared,28182
beard,28182
bread,28182
debar,28182
clade,28490
decal,28490
laced,28490
baddy,28518
darga,29036
garda,29036
chack,29450
areae,29524
ceded,29645
cabin,29670
gabby,29682
albas,29748
baals,29748
balas,29748
balsa,29748
basal,29748
sabal,29748
abram,30012
acais,30820
based,30954
beads,30954
sabed,30954
jaded,31262
tabla,31524
maced,31570
fable,31746
canal,31820
chaff,32110
cobia,32430
bated,32802
samba,32964
acned,33110
caned,33110
dance,33110
decan,33110
daube,33726
cycad,33950
fadge,34034
apaid,34132
bandh,34314
aroba,34404
black,34410
beech,34485
basan,34572
brach,34770
coala,34780
afear,34892
clach,35150
caman,35260
cubeb,36135
hejab,36366
nabob,36378
halfa,36556
chaya,36860
canna,36980
bided,37191
ackee,37510
blaff,37518
abuna,37668
fanga,38012
bachs,38190
gaddi,38318
gadid,38318
bocce,38775
bekah,38874
calpa,39220
agape,39644
apage,39644
baboo,39762
addle,39886
daled,39886
dedal,39886
laded,39886
taata,40328
batch,40470
caped,40810
paced,40810
bagel,41514
belga,41514
gable,41514
gleba,41514
bibbs,41607
baric,42090
rabic,42090
bwana,42828
nawab,42828
aidas,43148
dawah,44156
beare,44286
aheap,44308
gadge,44506
gaged,44506
aland,44548
bigha,44574
blabs,44622
chaco,44650
coach,44650
barra,44652
bayed,44814
beady,44814
craal,45140
gambe,46002
basic,46230
belah,46398
hable,46398
acred,46970
arced,46970
cadre,46970
cared,46970
cedar,46970
raced,46970
madam,47068
acmic,47150
caddy,47530
galah,47804
began,48246
benga,48246
babul,48618
bubal,48618
mafia,49036
arbas,49044
sabra,49044
adman,49364
daman,49364
scala,49580
banya,50052
akela,50468
cades,51590
cased,51590
daces,51590
ecads,51590
rabat,51972
fecal,52910
agate,53108
haika,54188
acted,54670
cadet,54670
camas,54940
macas,54940
aflaj,55796
falaj,55796
becke,56265
boabs,56682
bobas,56682
brack,56730
basta,57084
clack,57350
brava,57828
agila,57868
beedi,58443
kanae,58652
sauba,58692
braid,58926
rabid,58926
bohea,58938
obeah,58938
agave,59092
alcid,59570
calid,59570
abbot,60066
yacka,60140
batta,60492
bacon,60630
banco,60630
caved,60830
padma,60844
tacan,61060
cided,61985
diced,61985
faked,62062
backs,62310
chado,62510
ealed,62678
gaffe,63206
panda,63812
cawed,63910
agami,64124
amiga,64124
peace,64130
carap,64660
cheka,64790
hacek,64790
zaida,65044
adder,65758
adred,65758
aredd,65758
dared,65758
dread,65758
readd,65758
haafs,66196
rebbe,66429
daddy,66542
bland,66822
celeb,67155
debby,67221
again,67252
ainga,67252
catch,67450
baffs,67938
macaw,68060
barge,68442
begar,68442
garbe,68442
tabid,68586
glace,69190
canid,69230
cnida,69230
nicad,69230
nakfa,69316
daals,69412
salad,69412
adeem,69454
edema,69454
alane,70004
damar,70028
drama,70028
circa,70150
craic,70150
ragga,70516
kibbe,70587
jelab,70818
abray,71004
capas,71020
pacas,71020
scapa,71020
deads,72226
apeak,72292
eaned,72842
acock,72850
dobla,73038
datal,73556
barbs,73566
bazar,73932
braza,73932
zabra,73932
buffa,74022
decay,74690
pacta,75260
ayaya,75272
agaze,75548
bleak,75702
gadje,75922
boded,75999
bhaji,76038
hijab,76038
rehab,76494
dated,76538
ebbet,77319
chela,77330
leach,77330
yabas,77988
aalii,78292
jambe,78474
aargh,78812
begat,79662
eched,80465
nadas,80668
caese,81070
cease,81070
bocci,81075
chard,81130
jhala,81548
cacti,81650
ticca,81650
sacra,81740
famed,82082
fanal,82732
bhang,83334
saheb,84018
bible,84249
cubed,84315
ganja,84796
jehad,84854
tafia,84916
vaded,85162
mache,85690
dwaal,85988
carbo,86010
carob,86010
coarb,86010
cobra,86010
palea,86284
bancs,86430
aghas,86564
carat,86620
carta,86620
kahal,87172
facer,87230
farce,87230
hodad,87514
baken,87978
babus,88038
bubas,88038
kaiak,88412
kaika,88412
bathe,89034
beath,89034
chads,89110
dawed,89474
waded,89474
casas,89780
caneh,89870
hance,89870
nache,89870
gibed,90321
label,90354
codec,90475
kanga,90644
kheda,90706
madid,92414
erbia,92598
adobo,92778
algal,93092
ileac,93610
bedel,94017
bleed,94017
debel,94017
crack,94550
vanda,95116
agria,95404
wicca,95450
cafes,95810
faces,95810
wagga,95948
occam,96350
hakam,96596
hahas,96748
galed,96866
glade,96866
dibbs,97083
deice,97405
causa,97820
acrid,98210
caird,98210
cardi,98210
daric,98210
baffy,98358
areal,99308
amble,100122
blame,100122
melba,100122
apnea,100276
paean,100276
edged,100793
jafas,101036
facet,101530
abies,101706
hatha,102524
arede,103334
deare,103334
eared,103334
amice,103730
cacks,103850
halal,104044
lahal,104044
balds,104118
blads,104118
embed,104181
radar,104188
aigas,104788
saiga,104788
adapt,105364
laika,105524
cavas,105860
addio,105938
barby,106506
gamed,107338
madge,107338
bimah,107502
acids,107870
asdic,107870
cadis,107870
caids,107870
alang,108188
lagan,108188
haled,108262
heald,108262
eniac,108790
adzed,108878
dazed,108878
barfi,109434
arame,110044
maare,110044
marae,110044
brand,110166
cocoa,110450
calif,110630
rebec,110715
chape,110770
cheap,110770
peach,110770
agita,111044
gaita,111044
taiga,111044
waacs,111220
vocab,111390
awake,113212
caffs,113230
scaff,113230
blaud,113442
aedes,113498
eased,113498
cager,114070
grace,114070
gamma,114308
magma,114308
diact,114310
dicta,114310
almah,115292
halma,115292
hamal,115292
vacua,115340
anear,115412
arena,115412
cadgy,115430
alate,115588
talea,115588
belch,115995
blech,115995
maneb,116358
dayan,116788
alibi,117438
biali,117438
debud,118041
manga,119884
hamed,119966
teade,120274
teaed,120274
jagra,120292
abord,120414
bardo,120414
board,120414
broad,120414
dobra,120414
dorba,120414
nahal,120916
bands,121002
acold,121730
fader,122122
fared,122122
ceaze,122210
mafic,122590
carbs,122610
crabs,122610
scrab,122610
bobby,123093
faddy,123578
tabby,123966
baker,124806
brake,124806
break,124806
kebar,124806
cages,125290
ngana,125732
cubic,125925
aleck,126170
coded,126665
ansae,126764
chare,127490
rache,127490
reach,127490
amate,128084
finca,128570
avale,128612
alfas,128908
daych,129010
baghs,129846
bract,129930
iambi,130134
ailed,131054
eliad,131054
ideal,131054
jagas,132124
aloha,132164
doabs,132258
drack,132370
beano,133386
deave,133826
eaved,133826
evade,133826
fades,134134
safed,134134
antae,134332
rajah,134444
scabs,134670
bench,134805
cocci,135125
neafe,135278
haick,135470
fatal,136604
bakes,137082
beaks,137082
hoaed,137522
gaped,138754
paged,138754
chang,138890
ganch,138890
bribe,138897
lamia,139564
aches,140030
chase,140030
adbot,140154
cobbs,141705
award,141764
beige,141933
defat,142142
fated,142142
arepa,142252
parae,142252
cobza,142410
effed,143143
apayd,143948
ajuga,143956
kebob,144243
draff,144326
bifid,144417
aimed,145222
amide,145222
media,145222
dacks,145390
aggie,146234
lanai,146372
liana,146372
haoma,146452
scuba,146730
boche,147345
kibbi,147591
belee,147741
cheat,148390
tache,148390
teach,148390
theca,148390
abler,148962
baler,148962
belar,148962
blaer,148962
blare,148962
blear,148962
alpha,149036
flack,149110
cacky,150350
cella,150590
badly,150738
baldy,150738
blady,150738
flava,151996
aglee,152218
eagle,152218
daine,152306
diane,152306
bibes,152559
baize,153318
argal,153476
graal,153476
jibed,154077
areic,154330
ceria,154330
erica,154330
pagan,154972
panga,154972
brede,155001
breed,155001
hanch,155230
adaws,155708
acidy,156170
byded,156849
casco,157450
cocas,157450
hakas,157852
kasha,157852
kibla,158286
daffs,158522
grade,159698
radge,159698
ragde,159698
raged,159698
gamic,160310
magic,160310
xebec,161535
laich,161690
check,161975
amain,162196
amnia,162196
anima,162196
mania,162196
flaff,162578
fauna,163228
ables,163614
baels,163614
bales,163614
beals,163614
blaes,163614
blase,163614
sable,163614
arear,163724
biked,164703
amber,165066
brame,165066
bream,165066
embar,165066
chave,165110
gobbi,165393
coact,166850
camel,166870
clame,166870
macle,166870
biccy,167325
acing,168130
baggy,168198
chide,168245
iched,168245
algas,168572
galas,168572
yabby,169362
saice,169510
grama,170068
bedes,170247
debes,170247
lahar,171532
bards,171654
brads,171654
darbs,171654
drabs,171654
brane,173118
hanap,173204
ablet,173382
blate,173382
bleat,173382
table,173382
clads,173530
scald,173530
rakia,173972
ancle,175010
clean,175010
lance,175010
bandy,175182
chaft,175370
degas,175406
egads,175406
gades,175406
bhais,175674
sahib,175674
laked,176638
agene,176902
hadji,177422
jihad,177422
carby,177510
faxed,178178
